จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,จำนวนหน่วยเลือกตั้งทั้งหมด
กระบี่,3,40,เป็นธรรม,54,0.06,89432,,89432,,,220,94.82759,,232
กระบี่,3,41,พลังไทยรักชาติ,48,0.05,89432,,89432,,,220,94.82759,,232
กระบี่,3,42,ไทรวมพลัง,46,0.05,89432,,89432,,,220,94.82759,,232
กระบี่,3,43,อนาคตไทย,43,0.05,89432,,89432,,,220,94.82759,,232
กระบี่,3,44,กรีน,37,0.04,89432,,89432,,,220,94.82759,,232
กระบี่,3,45,ท้องที่ไทย,35,0.04,89432,,89432,,,220,94.82759,,232
กระบี่,3,46,ก้าวอิสระ,34,0.04,89432,,89432,,,220,94.82759,,232
กระบี่,3,47,พร้อม,34,0.04,89432,,89432,,,220,94.82759,,232
กระบี่,3,48,โอกาสใหม่,32,0.04,89432,,89432,,,220,94.82759,,232
กระบี่,3,49,พลังสังคมใหม่,21,0.02,89432,,89432,,,220,94.82759,,232
กระบี่,3,50,ไทยรวมไทย,20,0.02,89432,,89432,,,220,94.82759,,232
กระบี่,3,51,ฟิวชัน,17,0.02,89432,,89432,,,220,94.82759,,232
กระบี่,3,52,ไทยธรรม,17,0.02,89432,,89432,,,220,94.82759,,232
กระบี่,3,53,ไทยพิทักษ์ธรรม,12,0.01,89432,,89432,,,220,94.82759,,232
กระบี่,3,54,ความหวังใหม่,11,0.01,89432,,89432,,,220,94.82759,,232
กระบี่,3,55,ประชาอาสาชาติ,9,0.01,89432,,89432,,,220,94.82759,,232
กระบี่,3,56,เครือข่ายชาวนาแห่งประเทศไทย,9,0.01,89432,,89432,,,220,94.82759,,232
กระบี่,3,57,แผ่นดินธรรม,5,0.01,89432,,89432,,,220,94.82759,,232
กรุงเทพมหานคร,1,1,ประชาชน,34215,43.58,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,2,ภูมิใจไทย,16471,20.98,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,3,ประชาธิปัตย์,11795,15.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,4,เพื่อไทย,6398,8.15,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,5,ไทยภักดี,2173,2.77,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,6,รวมไทยสร้างชาติ,1857,2.37,82421,,78517,1726,2178,227,94.97908,,239
